id,title,artist
43012,By the Light of the Silvery Moon,Billy Murray and Haydn Qartet with Orchestra
45783,Love Walked In,Kenny Baker [US1]
56781,The Old Rugged Cross,Mrs. William Asher - Homer Rodeheaver
59952,Red Sails in the Sunset,Lew Stone and His Band
64513,Corcovado,João Gilberto
68063,I'll Close My Eyes,Dorothy Squires with Orchestra directed by Billy Reid
71702,I Hadn't Anyone 'Till You,Ray Noble and His Orchestra featuring Tony Martin
80336,If I Loved You,Jan Clayton and John Raitt with Carousel Orchestra under direction of Joseph Littau
89492,John Henry,Fiddlin' John Carson
92417,My Buddy,Henry Burr
98311,Go Tell It on the Mountain,Dorothy Maynor with Unaccompanied Male Choir
102577,I'll Be Around,Cab Calloway & His Orchestra
109642,Three Coins in the Fountain,Frank Sinatra with Orchestra conducted by Nelson Riddle
112910,If I Could Be with You (One Hour Tonight),"Eva Taylor, accomp. by Clarence Williams Blue Five"
113615,Fix You,Coldplay
113724,Poker Face,Lady Gaga
122183,Take Me Out to the Ball Game,Harvey Hindermeyer
123591,Nobody's Sweetheart,Isham Jones and His Orchestra
125863,(There's No Place Like) Home for the Holidays,Perry Como with Mitch Ayres and His Orchestra
131020,I'm Forever Blowing Bubbles,Nell Carrington
132987,A Beautiful Friendship,Ella Fitzgerald - Orchestra conducted by Buddy Bregman
142440,Nagasaki,Ipana Troubadours
144648,Little White Lies,Irving Kaufman
149519,Hello,Adele
156539,Closer,The Chainsmokers ft. Halsey
233,Always on My Mind,B.J. Thomas
343,As Tears Go By,Marianne Faithfull
399,Against All Odds (Take a Look at Me Now),Phil Collins
401,All Along the Watchtower,Bob Dylan
424,Come Together,The Beatles
575,"Memphis, Tennessee",Chuck Berry
704,Stairway to Heaven,Led Zeppelin
856,I Shot the Sheriff,The Wailers
1017,I Wish,Stevie Wonder
1347,True Love,Bing Crosby - Grace Kelly
1443,The Windmills of Your Mind,Noel Harrison
1792,Crying in the Chapel,Darrell Glenn
1795,Are You Lonesome To-Night?,Charles Hart [US]
1924,Because,The Beatles
2158,Cry Me a River,Julie London
2407,Let's Dance,David Bowie
2768,Eleanor Rigby,The Beatles
2970,Reach Out I'll Be There,Four Tops
3063,Ain't No Sunshine,Bill Withers
3211,You Really Got Me,The Kinks
3497,Can't Take My Eyes off You,Frankie Valli
3552,Do You Want to Know a Secret,The Beatles
4012,Hit the Road Jack,Percy Mayfield
4683,Nice Work if You Can Get It,Shep Fields and His Rippling Rhythm Orchestra
4704,I Got Rhythm,Ethel Merman
4816,I Fall in Love Too Easily,Frank Sinatra
4833,River Man,Nick Drake
4865,Here's That Rainy Day,Dolores Gray
4867,More Than You Know,Mayo Methot
4887,Everything Happens to Me,Tommy Dorsey and His Orchestra
5319,Live and Let Die,Wings
5363,Little Green Apples,Roger Miller [US-OK]
5915,Little Girl Blue,Gloria Grafton
5958,She's Leaving Home,The Beatles
6394,What a Wonderful World,Louis Armstrong
6784,Vincent,Don McLean
6870,Try to Remember,Jerry Orbach
7032,The Wind Beneath My Wings,Roger Whittaker
7213,Look for the Silver Lining,Marilyn Miller and Leon Errol
7253,As Time Goes By,Frances Williams
7776,Back in Black,AC/DC
8339,I Am a Rock,Paul Simon
8673,Creep,Radiohead
9508,Yellow Submarine,The Beatles
9665,Mood Indigo,The Jungle Band
10141,La bamba,El Jarocho
10216,"Gee, Ain't I Good to You",McKinney's Cotton Pickers - Vocal Refrain by Donald Redman
10428,What the World Needs Now Is Love,Jackie deShannon
10603,Alone Again (Naturally),Gilbert O'Sullivan
10838,(Get Your Kicks On) Route 66,The King Cole Trio
10848,These Foolish Things (Remind Me of You),Dorothy Dickson
10907,Dream a Little Dream of Me,Ozzie Nelson and His Orchestra
11817,This Is All I Ask,Nat King Cole with Orchestra conducted by Gordon Jenkins
12992,I Can See Clearly Now,Johnny Nash
13873,Speak Low,Kurt Weill
14809,Some Other Time,"Betty Comden, Nancy Walker, Adolph Green and Cris Alexander"
15519,Homeward Bound,Chad and Jeremy
17053,Yellow,Coldplay
19943,Get Happy,Ruth Etting
20162,Fascinating Rhythm,"Fred Astaire, Adele Astaire & Cliff Edwards"
21352,I'm Gonna Make You Love Me,Dee Dee Warwick
23627,Rainy Days and Mondays,Carpenters
23770,'S Wonderful,Adele Astaire & Allen Kearns
23772,I'll Remember April,Woody Herman and His Orchestra
25030,Good Vibrations,The Beach Boys
26839,Berimbau,Vinicius de Moraes
28094,Bali Ha'i,Juanita Hall
30246,Somewhere,"Larry Kert, Reri Grist & Carol Lawrence"
34791,Rainy Night in Georgia,Tony Joe White
40199,Papa's Got a Brand New Bag,James Brown and The Famous Flames
42338,Unforgettable,Nat King Cole
49809,Wade in the Water,The Sunset Four Jubilee Singers
52660,Keep Growing Strong,Connie Stevens
55861,Scarlet Ribbons (For Her Hair),Jo Stafford with Vocal Group and Paul Weston and His Orchestra
62782,O Amor em Paz,Agostinho dos Santos
63854,You'll Never Know,Alice Faye
64395,What Are You Doing New Year's Eve,Kay Kyser and His Orchestra - Vocal Chorus by Harry Babbitt and The Campus Kids
64489,Caminhos Cruzados,Silvia Telles
65381,Between the Devil and the Deep Blue Sea,Aida Ward
71473,A Nightingale Sang in Berkeley Square,Judy Campbell
77841,Harbour Lights,Roy Fox and His Orchestra
82200,Them There Eyes,Hal Kemp and His Orchestra
86795,Love Me or Leave Me,Ruth Etting
114742,Stars Fell on Alabama,Guy Lombardo's Royal Canadians
114810,I'm Thru with Love,Henry Busse and His Orchestra - Vocal Refrain by Richard Barry
115251,The Second Time Around,Bing Crosby with Pete King and His Orchestra
117450,Heart and Soul,Larry Clinton and His Orchestra - Vocal Refrain by Bea Wain
117791,"Bill Bailey, Won't You Please Come Home?",Arthur Collins
119158,The Birth of the Blues,Irving Abrams & His Orchestra
121182,Something to Remember You By,Libby Holman
121296,Dear Heart,Joanie Sommers with The Bobby Troup Sextet
123334,Joshua Fit the Battle of Jericho,Harrod's Jubilee Singers
123840,I Wish I Knew,Dick Haymes with Orchestra under direction of Victor Young
124571,Heartaches,Jacques Renard & His Orchestra
132686,Isle of Capri,Lew Stone and His Band - Vocal Chorus by Nat Gonella
150625,Modinha,Elizete Cardoso
156542,This Is What You Came For,Calvin Harris // Rihanna
195566,Louisiana Fairy Tale,"""Fats"" Waller and His Rhythm"
246,I'm a Believer,The Monkees
731,All by Myself,Eric Carmen
841,Killing Me Softly with His Song,Lori Lieberman
882,Will You Love Me Tomorrow,The Shirelles
954,Heroes,David Bowie
994,Mrs. Robinson,Simon and Garfunkel
1055,You Only Live Twice,Nancy Sinatra
1130,When I'm Sixty-Four,The Beatles
1282,Mr. Tambourine Man,Bob Dylan
2427,God Only Knows,The Beach Boys
3353,Alfie,Cilla Black
4354,Respect,Otis Redding
4646,Our Day Will Come,Ruby and The Romantics
4687,Someone to Watch over Me,Gertrude Lawrence
4779,The End of the World,Skeeter Davis
4922,A Taste of Honey,Billy Dee Williams
5283,Skylark,Gene Krupa & His Orchestra
5388,Brown Eyed Girl,Van Morrison
5396,Thriller,Michael Jackson
5534,Highway to Hell,AC/DC
5549,Smoke on the Water,Deep Purple
5687,Nants' Ingonyama - Circle of Life,Carmen Twillie
5697,Beauty and the Beast,Angela Lansbury
5917,Imagine,John Lennon
6216,You've Made Me So Very Happy,Brenda Holloway
6753,Walk This Way,Aerosmith
7261,Yesterday Once More,Carpenters
7284,Love for Sale,"Kathryn Crawford, June Shafer, Ida Pearson and Stella Friend"
8937,Penny Lane,The Beatles
9004,La-La-Means I Love You,The Delfonics
9131,When Sunny Gets Blue,Johnny Mathis with Ray Conniff and His Orchestra
9132,Honey,Bob Shane
9199,Wichita Lineman,Glen Campbell
9263,It Could Happen to You,Jo Stafford with Paul Weston and His Orchestra
9560,The Hammer Song,The Weavers
9671,Good-Bye,Benny Goodman and His Orchestra
10129,Behind Blue Eyes,Pete Townshend
10685,She Loves You,The Beatles
10717,Don't Let Me Be Lonely Tonight,James Taylor
10902,I'm in the Mood for Love,Little Jack Little and His Orchestra
11833,Let's Fall in Love,Harold Arlen with Orchestral Acc. Dir. by Ray Sinatra
11898,I Say a Little Prayer,Dionne Warwick
13208,Con te partirò,Andrea Bocelli
13216,Time in a Bottle,Jim Croce
13698,Sentimental Journey,Les Brown and His Orchestra - Vocal Chorus by Doris Day
14238,What'd I Say,Ray Charles
14599,All of Me,Paul Whiteman and His Orchestra - Vocal Refrain by Mildred Bailey
14620,Meditação,Isaura Garcia
14861,"Quizás, quizás, quizás",Trio Durango con guitarras
15521,If You Leave Me Now,Chicago
19748,Please Send Me Someone to Love,Percy Mayfield
19945,Anything Goes,Ethel Merman
20049,I'm Old Fashioned,Fred Astaire & Rita Hayworth [dubbed by Nan Wynn]
22053,Karma Police,Radiohead
22926,The Lady Is a Tramp,Mitzi Green
22965,I Could Write a Book,Gene Kelly & Leila Ernst
25154,Isn't She Lovely?,Stevie Wonder
25621,That Lucky Old Sun,Vaughn Monroe and His Orchestra
30209,All in Love Is Fair,Stevie Wonder
31383,My Girl Sloopy,The Vibrations
34728,Torna a Surriento,"Giovanni Ambrosini, Maria Cappiello"
34907,Good Morning Heartache,Billie Holiday
35188,Who Can I Turn To (When Nobody Needs Me)?,Norman Wisdom
39786,Comes Love,Harry James and His Orchestra - Vocal Chorus Connie Haines
47901,Born Free,Matt Monro
48320,Whatever Lola Wants,Dinah Shore
50523,A Lot of Livin' to Do,"Dick Gautier, Susan Watson and Teenagers"
52177,"Take the ""A"" Train",Duke Ellington and His Famous Orchestra
52227,Invitation,The MGM Studio Orchestra
55442,Busted,Burl Ives
56366,Someday My Prince Will Come,Adriana Caselotti
61207,(I'm Gettin') Sentimental over You,Dorsey Brothers' Orchestra - Vocal Chorus by Jean Bowes
64372,Blues in the Night,"Artie Shaw and His Orchestra - Vocal Refrain and trumpet by ""Hot Lips"" Page"
65049,I'm Beginning to See the Light,Harry James and His Orchestra
65609,I Gotta Right to Sing the Blues,Lillian Shade
69970,Odio l'estate,Bruno Martino
74362,Granada,Pedro Vargas con Orquesta
75372,The Thrill Is Gone,Rudy Vallee & Everett Marshall
76174,The Look of Love,Stan Getz
76498,Autumn in New York,J. Harold Murray
83873,I Could Have Danced All Night,Julie Andrews and Philippa Bevans
88508,Carolina in the Morning,Willie & Eugene Howard
93655,I'll Get By (As Long as I Have You),"Nick Lucas ""The Crooning Troubadour"""
97460,I'm Glad There Is You,Jimmy Dorsey and His Orchestra
99751,Can You Feel the Love Tonight?,Joseph Williams & Sally Dworsky
106883,(Love Is) The Tender Trap,Debbie Reynolds
117883,I Can't Believe That You're in Love with Me,Dolores Valesco
120968,Hava nagila,A.Z. Idelsohn
121504,Jean,The Suntones
122499,You're the Cream in My Coffee,Ona Munson and Jack Whiting
124745,You're My Thrill,Mike Doty and His Orchestra - Vocal Refrain by Ward Silloway
124809,The Twelve Days of Christmas,Bing Crosby with The Andrews Sisters & Vic Schoen and His Orchestra
135726,Deep in a Dream,Bob Crosby and His Orchestra - Vocal Chorus by Marion Mann
140437,Rude,MAGIC! [CA]
151781,When We Were Young,Adele
153900,Home Sweet Home,John Yorke Atlee
200724,The Ballad of Casey Jones,Billy Murray
